"id","name","brief","ip_debut","ip_lmod","debut","lmod"
"1","nt","New Testament","127.0.0.1",,"0","0"
"2","ot","Old Testament",,,"0","0"
"3","philosophy","philosophy or philosophers","127.0.0.1",,"1497978773","0"
"4","alchemy","Alchemist or related to alchemy","127.0.0.1",,"1498135735","0"
"5","physics",,"127.0.0.1",,"1500127767","0"
"6","math",,"127.0.0.1",,"1500128261","0"
"7","mystic",,"127.0.0.1",,"1500130979","0"
"8","pharaoh","Egyptian Pharaoh","127.0.0.1",,"1500131505","0"
"9","king",,"127.0.0.1",,"1500132238","0"
"10","warrior",,"127.0.0.1",,"1500210794","0"
"11","explorer",,"127.0.0.1",,"1500212260","0"
"12","masonry",,"127.0.0.1",,"1500213171","0"
"13","statesman",,"127.0.0.1",,"1500214302","0"
"14","astronomy",,"127.0.0.1",NULL,"1517872681",NULL
